generation,best_params,best_iparams_ever,best_fitness,best_fitness_ever
16,6.841107516713766,"[0.5371633508446183, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.5667046309651598, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, 0.7449850583298718, 0.10942398311296207, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5371633508446183, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.5667046309651598, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, 0.7449850583298718, 0.10942398311296207, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.841107516713766
17,6.841107516713766,"[0.5371633508446183, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.5667046309651598, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, 0.7449850583298718, 0.10942398311296207, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5371633508446183, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.5667046309651598, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, 0.7449850583298718, 0.10942398311296207, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.841107516713766
18,6.841107516713766,"[0.5371633508446183, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.5667046309651598, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, 0.7449850583298718, 0.10942398311296207, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5371633508446183, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.5667046309651598, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, 0.7449850583298718, 0.10942398311296207, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.841107516713766
19,7.05282213522637,"[0.5374599941974265, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.8971457235079026, 1.5667046309651598, 1.1045429584971047, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.8971457235079026, 1.5667046309651598, 1.1045429584971047, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",7.05282213522637
20,7.017101274047806,"[0.5374599941974265, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.8971457235079026, 1.5667046309651598, 1.1045429584971047, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5371633508446183, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, 0.7449850583298718, 0.10942398311296207, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",7.05282213522637
21,7.112943954832643,"[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -1.7879907229548442, 0.9682388583748556, -1.0984889456793139, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.8065560676398258, 1.7332555032045098, 1.7390807701797073, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.15687245476397527, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -1.7879907229548442, 0.9682388583748556, -1.0984889456793139, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.8065560676398258, 1.7332555032045098, 1.7390807701797073, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.15687245476397527, 0.4295922992734207, -1.053954058932678]",7.112943954832643
22,7.2124070779105285,"[0.5371633508446183, 1.656074345303363, -1.2938601831342056, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7205255168188516, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.2303605572851737, 1.098719914976773, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2956923448085804, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5371633508446183, 1.656074345303363, -1.2938601831342056, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7205255168188516, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.2303605572851737, 1.098719914976773, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2956923448085804, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",7.2124070779105285
23,7.274207724976462,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.6317555840110529, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 1.0485611742743632, 1.8065560676398258, 1.7210557838399716, -1.0450903996197756, -1.5408593784961757, -0.9748222548870721, 0.14006780025431254, 0.420068814008854, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.1803458177673296, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.6317555840110529, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 1.0485611742743632, 1.8065560676398258, 1.7210557838399716, -1.0450903996197756, -1.5408593784961757, -0.9748222548870721, 0.14006780025431254, 0.420068814008854, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.1803458177673296, 0.4295922992734207, -1.053954058932678]",7.274207724976462
24,7.4866558400432615,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7476207762701708, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7476207762701708, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, 0.33125887566655576, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",7.4866558400432615
25,7.829577904345415,"[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -1.7879907229548442, 0.9642827598363866, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.8065560676398258, 1.7210557838399716, -1.0450903996197756, -1.538268544926468, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, -0.5288088874920305, 0.4295922992734207, -1.0538591623732678]","[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -1.7879907229548442, 0.9642827598363866, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.8065560676398258, 1.7210557838399716, -1.0450903996197756, -1.538268544926468, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, -0.5288088874920305, 0.4295922992734207, -1.0538591623732678]",7.829577904345415
