best_fitness,best_params,best_fitness_ever,generation,best_iparams_ever
"[0.46787684914262906, 1.8334731872860601, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.575204487713957,"[0.46787684914262906, 1.8334731872860601, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.575204487713957,11
"[0.46787684914262906, 1.8334731872860601, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.575204487713957,"[0.46787684914262906, 1.8334731872860601, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.575204487713957,12
"[0.46787684914262906, 1.8334731872860601, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.552638342013029,"[0.46787684914262906, 1.8626539585127104, -1.9350992671987846, 0.6901393355718257, 1.3508142375892258, -1.5127243007884537, 1.6216157544534848, 0.3550220938911339, -1.9765160649029045, -0.5551035698507438, -1.1928749880728167, 1.7110878101504539, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, 0.4324522648284622, 0.5349874020729142, 1.242248202257258, -1.1540628227235126, -0.9779240079822195, -0.11111727758017631, -0.510305382607624, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.575204487713957,13
"[0.46787684914262906, 1.8626539585127104, -1.293051087453032, 0.03802510428008514, 1.9748128703061694, -1.5127243007884537, 1.0275989821466651, -1.7315012074662208, -1.9370256593742599, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.11111727758017631, -0.510305382607624, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.714823174477394,"[0.46787684914262906, 1.8626539585127104, -1.293051087453032, 0.03802510428008514, 1.9748128703061694, -1.5127243007884537, 1.0275989821466651, -1.7315012074662208, -1.9370256593742599, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.11111727758017631, -0.510305382607624, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.714823174477394,14
"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.03877553921427972, 1.9748128703061694, -1.5127243007884537, 1.0415016258610683, 0.3512868331966033, -1.9765160649029045, -0.5551035698507438, -0.5449890757567534, -0.5577332215184163, 1.4526014338540918, -1.086827183338313, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, 0.4324522648284622, 0.5349874020729142, 1.242248202257258, 1.3282240894901656, -0.9779240079822195, -0.11111727758017631, -0.510305382607624, -0.15525905059315925, -0.06584023774042946, -0.7089681577032466]",6.913068524385885,"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.03877553921427972, 1.9748128703061694, -1.5127243007884537, 1.0415016258610683, 0.3512868331966033, -1.9765160649029045, -0.5551035698507438, -0.5449890757567534, -0.5577332215184163, 1.4526014338540918, -1.086827183338313, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, 0.4324522648284622, 0.5349874020729142, 1.242248202257258, 1.3282240894901656, -0.9779240079822195, -0.11111727758017631, -0.510305382607624, -0.15525905059315925, -0.06584023774042946, -0.7089681577032466]",6.913068524385885,15
"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.03877553921427972, 1.9748128703061694, -1.5127243007884537, 1.0415016258610683, 0.3512868331966033, -1.9765160649029045, -0.5551035698507438, -0.5449890757567534, -0.5577332215184163, 1.4526014338540918, -1.086827183338313, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, 0.4324522648284622, 0.5349874020729142, 1.242248202257258, 1.3282240894901656, -0.9779240079822195, -0.11111727758017631, -0.510305382607624, -0.15525905059315925, -0.06584023774042946, -0.7089681577032466]",6.844418105617042,"[0.46787684914262906, 1.8626539585127104, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.7053192866442526, 0.3550220938911339, -1.9765160649029045, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, 0.7868865150168638, -0.510305382607624, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.913068524385885,16
"[0.46787684914262906, 1.8626539585127104, -1.9350992671987846, 0.6901393355718257, 1.3508142375892258, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, -0.5551035698507438, -1.1928749880728167, 1.7110878101504539, 1.589482477871924, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, 0.05173497834332874, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.949624672417532,"[0.46787684914262906, 1.8626539585127104, -1.9350992671987846, 0.6901393355718257, 1.3508142375892258, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, -0.5551035698507438, -1.1928749880728167, 1.7110878101504539, 1.589482477871924, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, 0.05173497834332874, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.949624672417532,17
"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.6901393355718257, 1.3508142375892258, -1.5127243007884537, 1.7053192866442526, 0.3550220938911339, -1.9765160649029045, 1.0996420068303103, -1.1928749880728167, 1.7110878101504539, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, -0.23123329132989046, -0.19828135705544447, -0.3057431301020015, -0.7089681577032466]",7.11774774566027,"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.6901393355718257, 1.3508142375892258, -1.5127243007884537, 1.7053192866442526, 0.3550220938911339, -1.9765160649029045, 1.0996420068303103, -1.1928749880728167, 1.7110878101504539, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, -0.23123329132989046, -0.19828135705544447, -0.3057431301020015, -0.7089681577032466]",7.11774774566027,18
"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.6901393355718257, 1.3508142375892258, -1.5127243007884537, 1.7053192866442526, 0.3550220938911339, -1.9765160649029045, 1.0996420068303103, -1.1928749880728167, 1.7110878101504539, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, -0.23123329132989046, -0.19828135705544447, -0.3057431301020015, -0.7089681577032466]",6.946303788088407,"[0.46787684914262906, 1.8626539585127104, -1.9350992671987846, 0.6901393355718257, 1.3508142375892258, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, -1.9765160649029045, 1.559742890800078, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, -0.510305382607624, -0.19828135705544447, -0.3057431301020015, 1.5126757587244275]",7.11774774566027,19
"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.6901393355718257, 1.3508142375892258, -1.5127243007884537, 1.7053192866442526, 0.3550220938911339, -1.9765160649029045, 1.0996420068303103, -1.1928749880728167, 1.7110878101504539, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, -0.23123329132989046, -0.19828135705544447, -0.3057431301020015, -0.7089681577032466]",7.097778248562806,"[0.46787684914262906, 1.8626539585127104, -1.9350992671987846, 0.688657363652775, 1.3508142375892258, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, -1.9765160649029045, -0.5551035698507438, -0.5355248940616311, 1.7110878101504539, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, -0.510305382607624, -0.19828135705544447, -0.3057431301020015, 1.5126757587244275]",7.11774774566027,20
